FilingDate,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
31Jan2025,10890700000.0,58.0,187770689
28Jan2025,10890700000.0,58.0,187770689
07Nov2024,2338700000.0,12.46,187696629
25Oct2024,2338700000.0,12.46,187696629
30Jul2024,3662300000.0,19.5,187810256
26Apr2024,7485440000.0,39.86,187793276
25Jan2024,5300860000.0,28.63,185150541
30Oct2023,3842900000.0,20.46,187825024
27Oct2023,3842900000.0,20.46,187825024
27Jul2023,4639300000.0,24.71,187749898
03May2023,2365700000.0,12.6,187753968
01Feb2023,1104500000.0,5.88,187840136
18Oct2022,-910900000.0,-4.85,187814432
15Jul2022,2221700000.0,11.83,187802197
19Apr2022,3926900000.0,21.1,186109004
20Oct2021,4490400000.0,23.91,187804265
20Jul2021,5338100000.0,28.43,187762926
20Apr2021,5574100000.0,29.68,187806603
12Feb2021,4685500000.0,25.16,186228139
19Oct2020,3632500000.0,19.38,187435500
20Jul2020,2679900000.0,14.27,187799579
22Apr2020,3199400000.0,17.04,187758215
13Feb2020,2684000000.0,14.55,184467353
07Feb2020,2692200000.0,14.34,187740585
15Oct2019,2999700000.0,15.97,187833437
18Jul2019,4513000000.0,24.03,187806908
07May2019,3384200000.0,18.02,187802441
24Apr2019,3428000000.0,18.43,186001085
01Mar2019,7304700000.0,38.9,187781491
22Oct2018,2066900000.0,11.14,185538599
07Aug2018,3255100000.0,17.33,187830351
