FilingDate,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
31Jan2025,5382500000.0,4.7,1145212765
30Oct2024,6335300000.0,5.56,1139442446
01Aug2024,6060200000.0,5.31,1141280602
03May2024,7752600000.0,6.8,1140088235
02Feb2024,19176700000.0,16.57,1157314423
03Nov2023,3932200000.0,2.0,1966100000
04Aug2023,5872800000.0,5.15,1140349514
05May2023,4408800000.0,3.87,1139224806
14Feb2023,2697100000.0,2.36,1142838983
04Nov2022,4692000000.0,4.11,1141605839
05Aug2022,4429400000.0,3.95,1121367088
04May2022,2550100000.0,2.77,920613718
15Feb2022,-364600000.0,-0.33,1104848484
28Oct2021,2736950000.0,2.49,1099176706
04Aug2021,2567700000.0,2.33,1102017167
05May2021,1268400000.0,1.15,1102956521
03Feb2021,2866000000.0,2.7,1061481481
05Nov2020,3992400000.0,3.3,1209818181
07Aug2020,-813400000.0,-0.74,1099189189
08May2020,192800000.0,0.56,344285714
06May2020,-806000000.0,-0.73,1104109589
05Feb2020,2080800000.0,1.89,1100952380
12Nov2019,1026400000.0,0.93,1103655913
08Aug2019,4687900000.0,4.26,1100446009
27Jun2019,2098100000.0,2.58,813217054
29May2019,3311900000.0,3.01,1100299003
01Mar2019,1880500000.0,1.71,1099707602
19Nov2018,-248400000.0,-0.23,1080000000
12Jun2018,909900000.0,0.83,1096265060
