FilingDate,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
30Jan2025,4088900000.0,1.89,2163439153
29Oct2024,5721400000.0,2.65,2159018867
01Aug2024,31843900000.0,14.41,2209847328
02May2024,20495100000.0,9.44,2171091101
01Feb2024,5254900000.0,2.43,2162510288
09Nov2023,17158100000.0,8.09,2120902348
08Aug2023,3941100000.0,1.82,2165439560
31May2023,1918500000.0,0.89,2155617977
07Feb2023,13166000000.0,6.09,2161904761
01Nov2022,-2981800000.0,-1.38,2160724637
08Aug2022,9861300000.0,5.077,1942347843
25May2022,-6024900000.0,-2.85,2114000000
01Feb2022,4833700000.0,2.29,2110786026
27Oct2021,9327900000.0,4.66,2001695278
03Aug2021,1884000000.0,0.92,2047826086
05May2021,13271500000.0,6.34,2093296529
09Feb2021,6225500000.0,3.06,2034477124
04Nov2020,6957200000.0,3.42,2034269005
12Aug2020,2865800000.0,1.41,2032482269
06May2020,5002900000.0,2.46,2033699186
05Feb2020,13565900000.0,6.66,2036921921
12Nov2019,4858000000.0,2.35,2067234042
18Oct2019,13142200000.0,6.21,2116296296
28May2019,6744800000.0,3.26,2068957055
29Mar2019,14189600000.0,6.8,2086705882
12Feb2019,9163200000.0,4.42,2073122171
25Oct2018,6875600000.0,3.32,2070963855
26May2018,7005900000.0,3.38,2072751479
