FilingDate,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
29Jan2025,17580300000.0,7.14,2462226890
29Oct2024,5006530000.0,2.03,2466270935
31Jul2024,5706500000.0,2.36,2418008474
02May2024,5322900000.0,2.68,1986156716
31Jan2024,5136800000.0,2.59,1983320463
01Nov2023,6438400000.0,3.24,1987160493
02Aug2023,6448800000.0,3.25,1984246153
04May2023,5024000000.0,2.53,1985770750
08Feb2023,3689900000.0,1.86,1983817204
22Oct2022,1378900000.0,0.69,1998405797
29Apr2022,4951700000.0,2.49,1988634538
18Feb2022,2516600000.0,1.27,1981574803
27Oct2021,4412300000.0,2.22,1987522522
24Jul2021,7230800000.0,3.64,1986483516
30Apr2021,12218600000.0,4.77,2561551362
19Feb2021,4971000000.0,2.5,1988400000
23Oct2020,4405300000.0,2.22,1984369369
24Jul2020,4533700000.0,2.28,1988464912
28Apr2020,3991000000.0,2.01,1985572139
06Mar2020,7159600000.0,2.98,2402550335
24Feb2020,4549000000.0,2.29,1986462882
19Oct2019,2346100000.0,1.18,1988220338
26Jul2019,4120500000.0,2.08,1981009615
20Feb2019,13744400000.0,4.91,2799266802
25Oct2018,3929700000.0,1.45,2710137931
02Aug2018,6819700000.0,2.65,2573471698
