FilingDate,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
11Feb2025,3416000000.0,23.76,143771043
07Nov2024,3696000000.0,25.71,143757292
14Aug2024,2517000000.0,17.51,143746430
31May2024,2388000000.0,16.61,143768813
09Feb2024,2629000000.0,18.28,143818380
10Nov2023,2948000000.0,20.5,143804878
11Aug2023,2141000000.0,14.89,143787777
31May2023,2268600000.0,15.78,143764258
15Feb2023,2455900000.0,17.08,143788056
11Nov2022,2791900000.0,19.42,143764160
12Aug2022,3358000000.0,22.05,152290249
26May2022,1487500000.0,10.35,143719806
11Feb2022,2372900000.0,15.88,149426952
13Nov2021,1858900000.0,12.93,143766434
14Aug2021,1500400000.0,10.44,143716475
25Jun2021,1155200000.0,8.1,142617283
13Feb2021,1186200000.0,9.38,126460554
13Nov2020,682500000.0,4.33,157621247
12Nov2020,325200000.0,2.34,138974358
15Sep2020,-1491100000.0,-10.72,139095149
26Jun2020,2056000000.0,14.78,139106901
14Feb2020,947500000.0,6.81,139133627
14Nov2019,906000000.0,6.51,139170506
30May2019,766800000.0,5.51,139165154
19Feb2019,869300000.0,6.25,139088000
22Nov2018,789800000.0,5.68,139049295
24Aug2018,601600000.0,4.32,139259259
23Jun2018,596400000.0,4.29,139020979
