FilingDate,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
04Feb2025,11085900000.0,11.56,958987889
09Nov2024,6023100000.0,6.28,959092356
17Jul2024,11924000000.0,12.44,958520900
09May2024,12093900000.0,12.61,959072164
17Jan2024,14435400000.0,15.06,958525896
26Oct2023,11602500000.0,12.1,958884297
25Jul2023,15083700000.0,15.73,958912905
11May2023,12350600000.0,12.87,959642579
19Jan2023,10858800000.0,11.32,959257950
20Oct2022,7632900000.0,7.96,958907035
26Jul2022,10716900000.0,10.6,1011028301
10May2022,8999600000.0,9.38,959445628
21Jan2022,10202600000.0,10.64,958890977
21Oct2021,6186300000.0,6.45,959116279
20Jul2021,5960600000.0,6.21,959838969
13May2021,8196000000.0,8.54,959718969
21Jan2021,11879300000.0,12.38,959555735
22Oct2020,7931000000.0,8.27,959008464
24Jul2020,2518800000.0,2.63,957718631
24Jun2020,4520900000.0,4.71,959851380
22Jan2020,7588900000.0,7.91,959405815
23Oct2019,7905200000.0,8.24,959368932
24Jul2019,6524500000.0,6.8,959485294
09May2019,4796800000.0,5.0,959360000
23Jan2019,6317300000.0,6.63,952835595
24Oct2018,4979400000.0,5.14,968754863
02Aug2018,5426300000.0,5.66,958710247
15Jun2018,4915700000.0,5.12,960097656
