FilingDate,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
06Feb2025,4720500000.0,8.13,580627306
09Nov2024,5375300000.0,9.21,583637350
10Aug2024,3290400000.0,5.62,585480427
25May2024,5786700000.0,9.88,585698380
10Feb2024,6237800000.0,10.65,585708920
10Nov2023,3796500000.0,6.48,585879629
12Aug2023,3180000000.0,5.43,585635359
27May2023,6448000000.0,11.0,586181818
10Feb2023,2988200000.0,5.1,585921568
12Nov2022,1646300000.0,2.81,585871886
12Aug2022,5243500000.0,8.88,590484234
31May2022,8021600000.0,13.69,585945945
10Feb2022,2398100000.0,4.09,586332518
09Nov2021,1976800000.0,3.37,586587537
12Aug2021,7789700000.0,13.14,592823439
31May2021,8095500000.0,13.67,592209217
11Feb2021,7405100000.0,12.64,585846518
12Nov2020,8015400000.0,13.68,585921052
13Aug2020,7146800000.0,12.2,585803278
10Jun2020,8683000000.0,14.5,598827586
04Jun2020,7250400000.0,12.37,586127728
07Feb2020,4190700000.0,7.15,586111888
13Nov2019,3981300000.0,6.8,585485294
20Feb2019,4635100000.0,7.91,585979772
26Nov2018,3809500000.0,6.5,586076923
26Jun2018,3082900000.0,5.26,586102661
