FilingDate,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
16Jan2025,63037700000.0,20.37,3094634266
18Oct2024,69175700000.0,22.37,3092342422
25Jul2024,60346400000.0,19.54,3088352098
25Apr2024,71296700000.0,23.11,3085101687
24Jan2024,60711000000.0,19.69,3083341797
26Oct2023,58635600000.0,19.03,3081219127
27Jul2023,57971000000.0,18.83,3078651088
28Apr2023,-57284200000.0,-18.62,3076487647
23Jan2023,62093700000.0,20.13,3084634873
21Oct2022,56252500000.0,18.27,3078954570
26Jul2022,41252600000.0,13.43,3071675353
29Apr2022,41177700000.0,13.42,3068383010
25Jan2022,36142400000.0,11.78,3068115449
27Oct2021,31333200000.0,10.22,3065870841
26Jul2021,21601500000.0,7.05,3064042553
28Apr2021,26770600000.0,8.74,3062997711
28Jan2021,11166000000.0,3.65,3059178082
06Nov2020,16826700000.0,5.7,2952052631
29Jul2020,11121700000.0,3.94,2822766497
09Jul2020,18840000000.0,6.65,2833082706
13May2020,-13877800000.0,-4.92,2820691056
24Jan2020,17570000000.0,6.23,2820224719
09Sep2019,12629800000.0,4.87,2593388090
10May2019,15050600000.0,5.85,2572752136
31Jan2019,16808500000.0,6.54,2570107033
13Aug2018,7010900000.0,2.73,2568095238
