FilingDate,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
29Jan2025,21087300000.0,75.5,279301986
16Oct2024,20050400000.0,71.9,278865090
16Jul2024,19883400000.0,71.2,279261235
18Apr2024,19360000000.0,68.5,282627737
24Jan2024,20418800000.0,72.2,282808864
18Oct2023,18361400000.0,64.9,282918335
25Jul2023,16647700000.0,58.9,282643463
25Apr2023,14328800000.0,50.7,282619329
25Jan2023,14914200000.0,52.7,283001897
14Oct2022,15300000000.0,53.5,285981308
28Apr2022,14689500000.0,50.8,289163385
20Jan2022,12141900000.0,42.0,289092857
28Oct2021,12745500000.0,44.1,289013605
22Jul2021,10611800000.0,36.7,289149863
30Apr2021,13320700000.0,46.1,288952277
21Jan2021,15562800000.0,53.8,289271375
22Oct2020,11382000000.0,39.3,289618320
22Jul2020,5280400000.0,18.3,288546448
03Jun2020,12049200000.0,46.8,257461538
20May2020,13102900000.0,45.3,289247240
30Jan2020,12616000000.0,43.6,289357798
23Oct2019,14024200000.0,48.5,289158762
26Jul2019,11256700000.0,38.9,289375321
20May2019,13050500000.0,48.7,267977412
17May2019,13055900000.0,45.1,289487804
31Jan2019,11018800000.0,38.1,289207349
12Nov2018,11517200000.0,43.4,265373271
07Aug2018,10199200000.0,36.0,283311111
26May2018,10793400000.0,40.6,265847290
