FilingDate,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
30Jan2025,106900000.0,0.1,1069000000
24Oct2024,9075700000.0,5.7,1592228070
25Jul2024,6330400000.0,4.0,1582600000
27Apr2024,78200000.0,0.05,1564000000
30Jan2024,43900000.0,0.03,1463333333
28Oct2023,7543400000.0,4.7,1604978723
27Jul2023,4035100000.0,2.5,1614040000
27Apr2023,94600000.0,0.1,946000000
30Jan2023,49300000.0,0.03,1643333333
22Oct2022,4850800000.0,3.0,1616933333
29Jul2022,2330500000.0,14.6,159623287
29Apr2022,168700000.0,1.1,153363636
20Jan2022,23495200000.0,78.9,297784537
29Oct2021,2384900000.0,15.0,158993333
21Jul2021,3700000.0,0.0,0
29Apr2021,1687000000.0,10.6,159150943
20Jan2021,84000000.0,0.5,168000000
05Nov2020,16183600000.0,62.0,261025806
29Jul2020,10400000.0,0.1,104000000
29May2020,3181500000.0,20.0,159075000
06Feb2020,31900000.0,0.2,159500000
25Jul2019,4900000.0,0.0,0
01Feb2019,76800000.0,0.5,153600000
25Oct2018,11908000000.0,44.2,269411764
02Aug2018,60900000.0,0.4,152250000
21Jun2018,11138300000.0,43.1,258429234
