FilingDate,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
29Jan2025,37058100000.0,59.89,618769410
22Oct2024,56137100000.0,90.76,618522476
23Jul2024,34015400000.0,55.03,618124659
25Apr2024,34019100000.0,55.07,617742872
29Jan2024,31773900000.0,51.89,612331855
17Oct2023,31057500000.0,51.32,605173421
26Jul2023,29590600000.0,48.93,604753729
26Apr2023,28373600000.0,46.95,604336528
27Jan2023,26242200000.0,43.43,604241307
20Oct2022,24722400000.0,40.94,603869076
27Jul2022,23559200000.0,39.04,603463114
26Apr2022,22679500000.0,37.6,603178191
18Jan2022,19338500000.0,32.08,602821072
26Oct2021,13057700000.0,21.67,602570373
21Jul2021,8429200000.0,14.0,602085714
28Apr2021,11608500000.0,19.31,601165199
20Jan2021,10485800000.0,17.45,600905444
02Nov2020,8765800000.0,14.6,600397260
18Sep2020,8695000000.0,14.49,600069013
29May2020,8915700000.0,14.86,599979811
29Jan2020,14881500000.0,25.19,590770146
31Jan2019,10595600000.0,18.38,576474428
25Oct2018,9202800000.0,15.97,576255479
21Jun2018,7209500000.0,12.54,574920255
