FilingDate,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
30Jan2025,48373400000.0,9.35,5173625668
25Oct2024,54550400000.0,10.36,5265482625
31Jul2024,44581500000.0,8.62,5171867749
10May2024,48864900000.0,9.45,5170888888
31Jan2024,45793300000.0,8.86,5168544018
04Nov2023,42528900000.0,8.22,5173832116
05Aug2023,40700700000.0,7.87,5171626429
16May2023,51101300000.0,10.16,5029655511
03Feb2023,38527400000.0,7.45,5171463087
05Nov2022,33134200000.0,6.41,5169141965
01Jun2022,17787700000.0,3.44,5170843023
13May2022,17787700000.0,3.44,5170843023
05Feb2022,21970300000.0,4.25,5169482352
10Nov2021,20878500000.0,4.04,5167945544
31May2021,-10465000000.0,-2.24,4671875000
27Jan2021,10611100000.0,2.3,4613521739
05Nov2020,16786000000.0,3.63,4624242424
16Oct2020,-8642600000.0,-1.87,4621711229
16Jul2020,5065900000.0,0.95,5332526315
16Mar2020,-12188700000.0,-3.2,3808968750
05Mar2020,-14069500000.0,-3.7,3802567567
04Dec2019,8538200000.0,2.33,3664463519
09Sep2019,7098700000.0,2.04,3479754901
01Feb2019,4712500000.0,1.78,2647471910
10Aug2018,5282600000.0,2.0,2641300000
