FilingDate,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
30Jan2025,13160600000.0,1.81,7271049723
25Oct2024,10912700000.0,1.49,7323959731
29Jul2024,7761400000.0,1.06,7322075471
20May2024,17835200000.0,2.44,7309508196
29Jan2024,8933000000.0,1.22,7322131147
28Oct2023,8123400000.0,1.11,7318378378
27Jul2023,5308400000.0,0.73,7271780821
20May2023,13653600000.0,1.86,7340645161
28Jan2023,5987700000.0,0.82,7302073170
27Oct2022,6110500000.0,0.84,7274404761
16Jul2022,3561300000.0,1.5,2374200000
23May2022,11418100000.0,4.69,2434562899
28Jan2022,5833700000.0,2.39,2440878661
29Oct2021,6126000000.0,2.51,2440637450
06Aug2021,111500000.0,0.05,2230000000
23Jun2021,13523800000.0,5.55,2436720720
28Jan2021,2618600000.0,1.08,2424629629
06Nov2020,3970500000.0,1.63,2435889570
27Jul2020,541300000.0,0.22,2460454545
30Jun2020,10345200000.0,4.24,2439905660
30Jan2020,2150900000.0,0.89,2416741573
05Nov2019,3394900000.0,1.39,2442374100
30Jul2019,2047300000.0,0.84,2437261904
30May2019,6686200000.0,2.74,2440218978
01Feb2019,5076300000.0,2.09,2428851674
29Oct2018,5713100000.0,2.34,2441495726
11Aug2018,1797300000.0,0.74,2428783783
23Jun2018,5587400000.0,2.28,2450614035
