FilingDate,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
06Feb2025,144749000000.0,25.54,5667541111
28Oct2024,30795000000.0,6.21,4958937198
05Aug2024,38058000000.0,7.21,5278502080
14May2024,12379000000.0,3.61,3429085872
05Feb2024,14144000000.0,2.47,5726315789
31Oct2023,2930000000.0,0.51,5745098039
04Aug2023,9303000000.0,2.84,3275704225
16May2023,36250000000.0,5.3,6839622641
08Feb2023,29821000000.0,2.81,10612455516
01Nov2022,9489000000.0,1.68,5648214285
09Aug2022,4065000000.0,0.73,5568493150
18May2022,-24682000000.0,-4.42,5584162895
09Feb2022,-5879000000.0,-1.06,5546226415
03Nov2021,-1328000000.0,-0.24,5533333333
04Aug2021,-4361000000.0,-0.79,5520253164
18May2021,9836000000.0,1.39,7076258992
04Feb2021,-82394000000.0,-16.1,5117639751
31Oct2020,-8460000000.0,-1.55,5458064516
30Jul2020,-164618000000.0,-30.17,5456347364
26May2020,-50685000000.0,-9.69,5230650154
19May2020,-68829000000.0,-12.73,5406834249
05Feb2020,-33881000000.0,-6.6,5133484848
14Nov2019,-245135000000.0,-47.77,5131567929
02Aug2019,-13037000000.0,-2.81,4639501779
09May2019,-366000000.0,-0.09,4066666666
06Feb2019,2271000000.0,0.57,3984210526
29Oct2018,859000000.0,0.3,2863333333
