FilingDate,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
28Jan2025,1247700000.0,0.36,3465833333
28Oct2024,966700000.0,0.28,3452499999
31Jul2024,-2125200000.0,-0.61,3483934426
21May2024,4843600000.0,1.39,3484604316
13Feb2024,-1627700000.0,-0.47,3463191489
08Nov2023,-2334100000.0,-0.67,3483731343
04Aug2023,-3516700000.0,-1.01,3481881188
26May2023,5981100000.0,1.72,3477383720
10Feb2023,310000000.0,0.09,3444444444
11Nov2022,102900000.0,0.03,3430000000
04Aug2022,-1918500000.0,-0.55,3488181818
21May2022,9088700000.0,2.61,3482260536
27Jan2022,142600000.0,0.04,3565000000
09Nov2021,-674900000.0,-0.19,3552105263
30Jul2021,-4563800000.0,-1.29,3537829457
11Jun2021,-10328800000.0,-2.97,3477710437
06Feb2021,-2309900000.0,-0.66,3499848484
06Nov2020,-5561200000.0,-1.6,3475750000
11Sep2020,-8971500000.0,-2.58,3477325581
13Jun2020,-15341200000.0,-4.41,3478730158
12Feb2020,1588200000.0,0.46,3452608695
13Nov2019,1185800000.0,0.34,3487647058
07Sep2019,-2243100000.0,-0.63,3560476190
04Sep2019,6827000000.0,1.88,3631382978
09Aug2019,-2162500000.0,-0.62,3487903225
12Feb2019,1919500000.0,0.52,3691346153
26Oct2018,1851700000.0,0.5,3703400000
10Sep2018,1555800000.0,0.42,3704285714
22Jun2018,4571700000.0,1.25,3657360000
