FilingDate,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
28Jan2025,4582000000.0,155.37,29490892
12Nov2024,5359000000.0,181.7,29493670
06Aug2024,4655000000.0,157.83,29493759
24May2024,5645000000.0,191.4,29493207
13Feb2024,5181000000.0,175.69,29489441
09Nov2023,9989000000.0,338.71,29491305
31Jul2023,4090000000.0,138.69,29490230
10May2023,3990000000.0,135.3,29490022
14Feb2023,3189000000.0,108.1,29500462
08Nov2022,3724000000.0,126.3,29485352
20May2022,3506000000.0,118.9,29486963
09Feb2022,2348500000.0,79.6,29503768
10Nov2021,3719300000.0,126.2,29471473
04Aug2021,2597600000.0,88.3,29417893
21May2021,4820000000.0,163.4,29498164
11Feb2021,1857500000.0,63.0,29484126
20Nov2020,-645700000.0,-21.7,29755760
07Nov2020,-647900000.0,-22.0,29450000
11Aug2020,-1204600000.0,-40.8,29524509
26May2020,811400000.0,27.4,29613138
23May2020,811400000.0,27.5,29505454
06Feb2020,1194100000.0,40.5,29483950
05Feb2020,1194100000.0,40.5,29483950
04Dec2019,1026900000.0,34.8,29508620
06Nov2019,1026900000.0,34.8,29508620
22May2019,4117000000.0,136.5,30161172
26Feb2019,3353700000.0,109.9,30515923
19Nov2018,4199900000.0,137.6,30522529
11Aug2018,4309800000.0,141.2,30522662
04Jul2018,4337800000.0,142.1,30526389
