FilingDate,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
23Jan2025,46492000000.0,10.88,4273161764
25Oct2024,23972300000.0,5.61,4273137254
19Jul2024,30147700000.0,7.06,4270212464
10May2024,42241800000.0,19.8,2133424242
30Jan2024,33972700000.0,15.95,2129949843
30Oct2023,85011700000.0,39.92,2129551603
26Jul2023,105508800000.0,49.55,2129340060
23May2023,64777400000.0,30.42,2129434582
08Nov2022,-3041700000.0,-1.43,2127062937
26May2022,21305300000.0,10.01,2128401598
31Jan2022,24624500000.0,11.56,2130147058
30Oct2021,26941000000.0,12.65,2129723320
12Aug2021,15016500000.0,7.08,2120974576
27May2021,119401300000.0,59.77,1997679437
09Feb2021,27776200000.0,14.12,1967152974
30Oct2020,22477530000.0,11.43,1966538057
14Aug2020,20761700000.0,10.56,1966070075
04Jun2020,-13610100000.0,-6.92,1966777456
14Feb2020,12606300000.0,6.41,1966661466
08Nov2019,17084500000.0,8.69,1965995397
09Aug2019,10751200000.0,5.47,1965484460
21May2019,31249100000.0,15.89,1966589049
13Feb2019,4951400000.0,2.52,1964841269
20Nov2018,12187100000.0,6.2,1965661290
28Aug2018,22932600000.0,11.66,1966775300
26Jun2018,26736400000.0,13.59,1967358351
