DateOfEndOfReportingPeriod,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
31Dec2024,5843400000.0,24.15,241962732
30Sep2024,5349500000.0,22.06,242497733
30Jun2024,5020800000.0,20.84,240921305
31Mar2024,5404100000.0,22.35,241794183
31Dec2023,5383600000.0,22.35,240876957
30Sep2023,5875400000.0,24.41,240696435
30Jun2023,4524600000.0,19.0,238136842
31Mar2023,5535700000.0,23.19,238710651
31Dec2022,7669300000.0,31.84,240869974
30Sep2022,4905200000.0,20.48,239511718
30Jun2022,3216600000.0,13.35,240943820
31Mar2022,3778700000.0,15.77,239613189
31Dec2021,3698900000.0,15.41,240032446
30Sep2021,3673100000.0,15.25,240859016
30Jun2021,4658800000.0,19.34,240889348
31Mar2021,3534600000.0,14.67,240940695
31Dec2020,4283900000.0,17.79,240803822
30Sep2020,4623100000.0,19.21,240661114
30Jun2020,5158700000.0,21.45,240498834
31Mar2020,3811600000.0,15.85,240479495
31Dec2019,3603500000.0,14.99,240393595
30Sep2019,4925800000.0,20.5,240282926
30Jun2019,2502100000.0,10.41,240355427
31Mar2019,2896900000.0,12.37,234187550
31Dec2018,3006500000.0,12.51,240327737
30Sep2018,2835700000.0,23.61,120105887
30Jun2018,2581200000.0,21.51,119999999
31Mar2018,2637900000.0,21.96,120122950
