DateOfEndOfReportingPeriod,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
31Dec2024,14381500000.0,17.81,807495788
30Sep2024,13060200000.0,16.13,809683818
30Jun2024,10559400000.0,13.08,807293577
31Mar2024,9344000000.0,11.63,803439380
31Dec2023,10685100000.0,13.08,816903669
30Sep2023,10296900000.0,12.76,806967084
30Jun2023,8950200000.0,11.09,807051397
31Mar2023,3554900000.0,4.4,807931818
31Dec2022,8080500000.0,9.92,814566532
30Sep2022,7051900000.0,8.74,806853546
31Mar2022,3767200000.0,4.49,839020044
31Dec2021,7589500000.0,9.03,840476190
30Sep2021,7120000000.0,8.82,807256235
30Jun2021,7118000000.0,8.86,803386004
31Mar2021,4155100000.0,5.13,809961013
31Dec2020,6989300000.0,8.67,806147635
30Sep2020,7456400000.0,9.25,806097297
30Jun2020,5714300000.0,7.17,796973500
31Mar2020,2423100000.0,3.05,794459016
31Dec2019,2822200000.0,3.5,806342857
30Sep2019,7373800000.0,9.15,805879781
30Jun2019,6940000000.0,8.61,806039488
31Mar2019,6340700000.0,7.87,805679796
31Dec2018,3232000000.0,4.12,784466019
30Sep2018,3661300000.0,4.68,782329059
30Jun2018,4466800000.0,5.6,797642857
31Mar2018,1531900000.0,2.22,690045045
