DateOfEndOfReportingPeriod,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
31Dec2024,96462600000.0,15.65,6163744408
30Sep2024,41339700000.0,6.71,6160909090
30Jun2024,874600000.0,0.14,6247142857
31Mar2024,33362200000.0,5.41,6166765249
31Dec2023,93164000000.0,15.12,6161640211
30Sep2023,21961900000.0,3.56,6169073033
30Jun2023,79644200000.0,12.93,6159644238
31Mar2023,31382600000.0,5.09,6165540275
31Dec2022,88090700000.0,14.29,6164499650
30Sep2022,26940000000.0,4.37,6164759725
30Jun2022,1609800000.0,0.26,6191538461
31Mar2022,37934300000.0,6.16,6158165584
31Dec2021,56448300000.0,9.16,6162478165
30Sep2021,18131300000.0,2.94,6167108843
30Jun2021,-498200000.0,-0.08,6227500000
31Mar2021,25871400000.0,4.2,6159857142
31Dec2020,50208400000.0,8.15,6160539877
30Sep2020,202300000.0,0.03,6743333333
30Jun2020,118900000.0,0.02,5945000000
31Mar2020,106316500000.0,17.25,6163275362
31Dec2019,4586900000.0,0.74,6198513513
30Sep2019,1073100000.0,0.17,6312352941
30Jun2019,832300000.0,0.14,5944999999
31Mar2019,60268200000.0,9.71,6206817713
31Dec2018,54742900000.0,8.82,6206678004
30Sep2018,6115100000.0,0.99,6176868686
30Jun2018,37843400000.0,6.1,6203836065
31Mar2018,90212200000.0,14.53,6208685478
