DateOfEndOfReportingPeriod,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
31Dec2024,10562300000.0,38.53,274131845
30Sep2024,10098800000.0,36.85,274051560
30Jun2024,10880200000.0,39.72,273922457
31Mar2024,9833100000.0,35.91,273826232
31Dec2023,9137300000.0,33.38,273735769
30Sep2023,9385000000.0,34.29,273694954
30Jun2023,9138800000.0,33.4,273616766
31Mar2023,7468600000.0,27.31,273474917
31Dec2022,6807000000.0,24.89,273483326
30Sep2022,6148600000.0,22.49,273392618
30Jun2022,5801700000.0,21.22,273407163
31Mar2022,5533800000.0,20.24,273409090
31Dec2021,4222700000.0,15.44,273490932
30Sep2021,3433600000.0,12.56,273375796
30Jun2021,2672100000.0,9.78,273220858
31Mar2021,4680800000.0,17.13,273251605
31Dec2020,4884600000.0,17.88,273187919
30Sep2020,3608600000.0,13.22,272965204
30Jun2020,123000000.0,0.45,273333333
31Mar2020,3461800000.0,126.79,27303415
31Dec2019,4889400000.0,179.11,27298308
30Sep2019,5704600000.0,209.05,27288208
30Jun2019,4982400000.0,182.6,27285870
31Mar2019,4804400000.0,176.12,27279127
31Dec2018,5014100000.0,183.86,27271293
30Sep2018,4813700000.0,176.54,27266908
30Jun2018,5118900000.0,211.35,24220014
31Mar2018,5523100000.0,238.02,23204352
