DateOfEndOfReportingPeriod,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
31Dec2024,386738000.0,5.88,65771768
30Sep2024,26719300000.0,4.06,6581108374
30Jun2024,27239800000.0,4.14,6579661835
31Mar2024,21769700000.0,3.31,6576948640
31Dec2023,28426200000.0,4.32,6580138888
30Sep2023,24048900000.0,3.66,6570737704
30Jun2023,17929900000.0,2.73,6567728937
31Mar2023,6035200000.0,0.92,6560000000
31Dec2022,2457300000.0,0.37,6641351351
30Sep2022,15370700000.0,2.34,6568675213
30Jun2022,29151900000.0,6.57,4437123287
31Mar2022,26831100000.0,6.04,4442235099
31Dec2021,32879900000.0,7.4,4443229729
30Sep2021,28629500000.0,6.45,4438682170
30Jun2021,15299200000.0,3.45,4434550724
31Mar2021,19076700000.0,4.24,4499221698
31Dec2020,14873300000.0,3.3,4507060606
30Sep2020,12396700000.0,2.75,4507890909
30Jun2020,6429700000.0,1.45,4434275862
31Mar2020,41571600000.0,10.48,3966755725
31Dec2019,20295100000.0,4.49,4520066815
30Sep2019,10642500000.0,2.36,4509533898
30Jun2019,12875300000.0,5.71,2254868651
31Mar2019,11222300000.0,4.98,2253473895
31Dec2018,16812300000.0,7.46,2253659517
30Sep2018,19629600000.0,8.7,2256275862
30Jun2018,12592500000.0,5.58,2256720430
31Mar2018,10209200000.0,4.53,2253686534
