DateOfEndOfReportingPeriod,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
31Dec2024,-1686500000.0,-2.53,666600790
30Sep2024,7208600000.0,10.84,665000000
30Jun2024,-521200000.0,0.0,0
31Mar2024,-4409300000.0,-6.66,662057057
31Dec2023,2363100000.0,3.61,654598337
30Sep2023,7947400000.0,12.1,656809917
30Jun2023,3552700000.0,5.41,656691312
31Mar2023,935100000.0,1.42,658521126
31Dec2022,2573600000.0,3.93,654860050
30Sep2022,9643000000.0,14.68,656880108
30Jun2022,8085600000.0,12.31,656831844
31Mar2022,8136100000.0,12.39,656666666
31Dec2021,4889800000.0,7.45,656348993
30Sep2021,9468900000.0,14.42,656650485
30Jun2021,4459400000.0,6.79,656759941
31Mar2021,4630400000.0,7.05,656794326
31Dec2020,3322600000.0,5.06,656640316
30Sep2020,3602200000.0,5.49,656138433
30Jun2020,-2690900000.0,-4.1,656317073
31Mar2020,3571000000.0,5.44,656433823
31Dec2019,1846700000.0,2.81,657188612
30Sep2019,5264900000.0,8.02,656471321
30Jun2019,2017000000.0,3.07,657003257
31Mar2019,13196400000.0,17.26,764565469
31Dec2018,10681300000.0,14.57,733102264
30Sep2018,-11866600000.0,-18.05,657429362
30Jun2018,13578900000.0,16.98,799699646
31Mar2018,3731200000.0,5.68,656901408
