DateOfEndOfReportingPeriod,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
31Dec2024,35260000000.0,13.01,2710222905
30Sep2024,42370000000.0,15.62,2712548015
30Jun2024,42590000000.0,15.7,2712738853
31Mar2024,39950000000.0,14.72,2713994565
31Dec2023,43510000000.0,16.06,2709215442
30Sep2023,38330000000.0,14.15,2708833922
30Jun2023,35310000000.0,13.05,2705747126
31Mar2023,28440000000.0,10.5,2708571428
31Dec2022,40960000000.0,15.13,2707204230
30Sep2022,27410000000.0,10.12,2708498023
30Jun2022,26780000000.0,9.89,2707785642
31Mar2022,35990000000.0,13.27,2712132629
31Dec2021,26370000000.0,9.72,2712962962
30Sep2021,25620000000.0,9.44,2713983050
30Jun2021,32130000000.0,11.81,2720575783
31Mar2021,4560000000.0,1.68,2714285714
31Dec2020,39770000000.0,14.63,2718386876
30Sep2020,25300000000.0,9.32,2714592274
30Jun2020,29350000000.0,10.8,2717592592
31Mar2020,25000000000.0,9.2,2717391304
31Dec2019,24440000000.0,9.01,2712541620
30Sep2019,22320000000.0,16.46,1356014580
30Jun2019,17930000000.0,13.22,1356278366
31Mar2019,20310000000.0,14.97,1356713426
31Dec2018,20140000000.0,14.81,1359891964
30Sep2018,21540000000.0,15.47,1392372333
31Mar2018,18410000000.0,13.22,1392586989
