DateOfEndOfReportingPeriod,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
31Dec2024,12028400000.0,60.15,199973399
30Sep2024,12035400000.0,60.18,199990029
30Jun2024,11226300000.0,56.15,199934105
31Mar2024,10160500000.0,50.84,199852478
31Dec2023,10733800000.0,53.7,199884543
30Sep2023,10538100000.0,52.72,199888088
30Jun2023,8247200000.0,41.27,199835231
31Mar2023,8589300000.0,42.99,199797627
31Dec2022,7110600000.0,35.58,199848229
30Sep2022,7160700000.0,35.84,199796316
30Jun2022,6245200000.0,31.25,199846400
31Mar2022,6270500000.0,31.38,199824729
31Dec2021,6861300000.0,34.34,199804892
30Sep2021,7944000000.0,39.76,199798792
30Jun2021,3654400000.0,18.29,199803171
31Mar2021,8649700000.0,43.3,199762124
31Dec2020,10844700000.0,54.29,199755019
30Sep2020,9534500000.0,47.73,199759061
30Jun2020,613100000.0,3.07,199706840
31Mar2020,6207100000.0,31.08,199713642
31Dec2019,8804100000.0,44.08,199730036
30Sep2019,8748000000.0,43.8,199726027
30Jun2019,12573400000.0,62.95,199736298
31Mar2019,0.0,0.0,0
31Dec2018,7691000000.0,38.52,199662512
30Sep2018,9762800000.0,48.88,199729950
30Jun2018,9091700000.0,45.52,199729789
31Mar2018,9674000000.0,48.44,199710982
