DateOfEndOfReportingPeriod,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
31Dec2024,30010000000.0,12.77,2350039154
30Sep2024,26120000000.0,11.12,2348920863
30Jun2024,25380000000.0,10.8,2350000000
31Mar2024,24060000000.0,10.25,2347317073
31Dec2023,25190000000.0,10.72,2349813432
30Sep2023,27170000000.0,11.56,2350346020
30Jun2023,24720000000.0,10.52,2349809885
31Mar2023,25520000000.0,10.86,2349907918
31Dec2022,25050000000.0,10.67,2347703842
30Sep2022,26160000000.0,11.13,2350404312
30Jun2022,22890000000.0,9.74,2350102669
31Mar2022,23270000000.0,9.9,2350505050
31Dec2021,22430000000.0,9.55,2348691099
30Sep2021,21870000000.0,9.31,2349087003
30Jun2021,20610000000.0,8.77,2350057012
31Mar2021,21910000000.0,9.31,2353383458
31Dec2020,19210000000.0,8.18,2348410757
30Sep2020,20090000000.0,8.55,2349707602
30Jun2020,18810000000.0,8.01,2348314606
31Mar2020,15200000000.0,7.02,2165242165
31Dec2019,16160000000.0,7.47,2163319946
30Sep2019,18480000000.0,8.54,2163934426
30Jun2019,17550000000.0,8.11,2163995067
31Mar2019,15380000000.0,7.11,2163150492
31Dec2018,14440000000.0,6.67,2164917541
30Sep2018,15250000000.0,7.04,2166193181
30Jun2018,15290000000.0,7.06,2165722379
31Mar2018,13510000000.0,6.24,2165064102
