DateOfEndOfReportingPeriod,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
31Dec2024,138286100000.0,18.26,7573170865
30Sep2024,117458800000.0,16.68,7041894484
30Jun2024,110591100000.0,15.73,7030584869
31Mar2024,107075300000.0,15.26,7016730013
31Dec2023,102715400000.0,14.65,7011290102
30Sep2023,102610000000.0,14.66,6999317871
30Jun2023,96482000000.0,13.8,6991449275
31Mar2023,91218700000.0,13.07,6979242540
31Dec2022,83118500000.0,11.92,6973028523
30Sep2022,75578400000.0,10.86,6959337016
30Jun2022,74869300000.0,10.62,7049839924
31Mar2022,70187100000.0,10.1,6949217821
31Dec2021,67669000000.0,9.42,7183545647
30Sep2021,55109500000.0,7.95,6932012578
30Jun2021,49423500000.0,6.86,7204591836
31Mar2021,52772900000.0,7.07,7464342291
31Dec2020,49395900000.0,7.16,6898868715
30Sep2020,53944800000.0,7.3,7389698630
30Jun2020,35634900000.0,4.82,7393132780
31Mar2020,12213600000.0,1.89,6462222222
31Dec2019,41464600000.0,6.41,6468736349
30Sep2019,6549600000.0,1.01,6484752475
30Jun2019,28361000000.0,3.9,7272051282
31Mar2019,9690600000.0,1.5,6460400000
31Dec2018,16049100000.0,2.49,6445421686
30Sep2018,9088800000.0,1.41,6445957446
30Jun2018,-1195500000.0,-0.19,6292105263
31Mar2018,14541800000.0,1.78,8169550561
