DateOfEndOfReportingPeriod,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
31Dec2024,-64926000000.0,-0.93,69812903225
30Sep2024,-72095000000.0,-1.04,69322115384
30Jun2024,-64713000000.0,-1.03,62828155339
31Mar2024,-76720000000.0,-1.57,48866242038
31Dec2023,-69907000000.0,-1.44,48546527777
30Sep2023,-87278000000.0,-1.79,48758659217
30Jun2023,-78389000000.0,-1.61,48688819875
31Mar2023,-65193000000.0,-1.55,42060000000
31Dec2022,-79540000000.0,-2.44,32598360655
31Mar2022,-64610000000.0,-2.25,28715555555
31Dec2021,-71888000000.0,-2.5,28755200000
30Sep2021,-71326000000.0,-2.48,28760483870
30Jun2021,-74157000000.0,-2.58,28743023255
31Mar2021,-70265000000.0,-2.45,28679591836
31Dec2020,-67177000000.0,-2.34,28708119658
30Sep2020,-72156000000.0,-2.51,28747410358
30Jun2020,-253339000000.0,-8.82,28723242630
31Mar2020,-119488000000.0,-4.16,28723076923
31Dec2019,-64179000000.0,-2.23,28779820627
30Sep2019,-510514000000.0,-17.72,28810045146
30Jun2019,-50383000000.0,-2.14,23543457943
31Mar2019,-49270000000.0,-5.64,8735815602
31Dec2018,-50444000000.0,-5.74,8788153310
30Sep2018,-50065000000.0,-8.58,5835081585
