DateOfEndOfReportingPeriod,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
31Dec2024,14023500000.0,18.01,778650749
30Sep2024,13312600000.0,17.09,778970157
30Jun2024,21521600000.0,27.65,778358047
31Mar2024,23490800000.0,30.19,778098708
31Dec2023,22978500000.0,29.56,777351150
30Sep2023,21814700000.0,28.1,776323843
30Jun2022,16310200000.0,21.05,774831353
31Mar2022,13613700000.0,17.57,774826408
31Dec2021,12413900000.0,16.04,773933915
30Sep2021,11135300000.0,14.39,773822098
30Jun2021,9749500000.0,12.6,773769841
31Mar2021,9260700000.0,12.11,764715111
31Dec2020,8303900000.0,10.97,756964448
30Sep2020,6630800000.0,9.3,712989247
30Jun2020,4606400000.0,6.64,693734939
31Mar2020,3018400000.0,4.35,693885057
31Dec2019,13002000000.0,18.76,693070362
30Jun2019,14325000000.0,20.68,692698259
30Jun2018,10357200000.0,17.25,600417391
