DateOfEndOfReportingPeriod,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
31Dec2024,28735300000.0,2.09,13748947368
30Sep2024,1800100000.0,0.13,13846923076
30Jun2024,26431800000.0,1.92,13766562500
31Mar2024,48376900000.0,3.51,13782592592
31Dec2023,80633900000.0,5.86,13760051194
30Sep2023,129673200000.0,9.42,13765732484
30Jun2023,137504400000.0,9.98,13777995991
31Mar2023,100586900000.0,7.3,13779027397
31Dec2022,4480100000.0,0.33,13576060606
30Sep2022,-2723500000.0,-0.19,14334210526
31Mar2022,60218800000.0,6.56,9179695121
31Dec2021,58608000000.0,6.38,9186206896
30Sep2021,63600500000.0,6.93,9177561327
30Jun2021,59413700000.0,6.47,9182952086
31Mar2021,87813000000.0,9.56,9185460251
31Dec2020,49165900000.0,5.36,9172742537
30Sep2020,62273100000.0,6.78,9184823008
30Jun2020,19110000000.0,2.08,9187500000
31Mar2020,-51850000000.0,-5.65,9176991150
31Dec2019,23390000000.0,2.55,9172549019
30Sep2019,5630000000.0,0.61,9229508196
30Jun2019,35960000000.0,3.92,9173469387
31Mar2019,60990000000.0,6.46,9441176470
31Dec2018,3150000000.0,1.02,3088235294
30Sep2018,32470000000.0,3.43,9466472303
30Jun2018,68920000000.0,7.48,9213903743
31Mar2018,52181000000.0,5.51,9470235934
