DateOfEndOfReportingPeriod,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
31Dec2024,40010300000.0,24.43,1637752762
30Sep2024,41128100000.0,24.69,1665779667
30Jun2024,34401100000.0,20.26,1697981243
31Mar2024,50035400000.0,31.98,1564584115
31Dec2023,35945100000.0,21.44,1676543843
30Sep2023,38555500000.0,22.94,1680710549
30Jun2023,31161200000.0,17.74,1756550169
31Mar2023,44467400000.0,28.37,1567409235
31Dec2022,30659300000.0,18.17,1687358282
30Sep2022,28192000000.0,15.862,1777329466
30Jun2022,22930100000.0,12.114,1892859501
31Mar2022,40066600000.0,25.77,1554776872
31Dec2021,24968600000.0,14.63,1706671223
30Sep2021,22313300000.0,12.95,1723034749
30Jun2021,15561800000.0,8.36,1861459330
31Mar2021,24670400000.0,17.57,1404120660
31Dec2020,26397500000.0,16.08,1641635572
30Sep2020,-22694600000.0,-18.7,1213614973
30Jun2020,6380200000.0,2.11,3023791469
31Mar2020,32834500000.0,21.84,1503411172
31Dec2019,25122300000.0,15.4,1631318181
30Sep2019,17766500000.0,12.67,1402249408
30Jun2019,17668900000.0,9.7,1821536082
31Mar2019,23774200000.0,16.95,1402607669
31Dec2018,16347800000.0,11.66,1402041166
30Sep2018,17537100000.0,12.51,1401846522
30Jun2018,9118000000.0,6.51,1400614439
31Mar2018,24452200000.0,17.45,1401272206
