DateOfEndOfReportingPeriod,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
31Dec2024,29643100000.0,24.7,1200125506
30Sep2024,38408800000.0,32.01,1199900031
30Jun2024,26126300000.0,21.78,1199554637
31Mar2024,20382100000.0,17.0,1198947058
31Dec2023,24539800000.0,20.47,1198817782
30Sep2023,34518800000.0,28.8,1198569444
30Jun2023,27737300000.0,23.15,1198155507
31Mar2023,27621900000.0,23.68,1166465371
31Dec2022,15280600000.0,12.76,1197539184
30Sep2022,20899200000.0,17.46,1196975945
30Jun2022,14301600000.0,11.95,1196786610
31Mar2022,12919400000.0,10.8,1196240740
30Sep2021,14317300000.0,11.98,1195100166
30Jun2021,8556100000.0,7.16,1194986033
31Mar2021,484400000.0,0.41,1181463414
31Dec2020,309300000.0,0.26,1189615384
30Sep2020,771900000.0,0.65,1187538461
30Jun2020,-1966800000.0,-0.88,2235000000
31Mar2020,-18225600000.0,-12.04,1513754152
31Dec2019,3065500000.0,2.57,1192801556
30Sep2019,12126000000.0,10.17,1192330383
30Jun2019,23138200000.0,19.42,1191462409
31Mar2019,8488100000.0,7.13,1190476858
31Dec2018,10768100000.0,9.04,1191161504
30Sep2018,16494600000.0,13.86,1190086580
30Jun2018,12209600000.0,10.26,1190019493
31Mar2018,10590900000.0,8.9,1189988764
