DateOfEndOfReportingPeriod,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
31Dec2024,47114200000.0,4.86,9694279835
30Sep2024,46488700000.0,4.79,9705365344
30Jun2024,45109800000.0,4.65,9701032258
31Mar2024,55564300000.0,5.73,9697085514
31Dec2023,45719100000.0,4.71,9706815286
30Sep2023,38850100000.0,4.01,9688304239
30Jun2023,40660400000.0,4.19,9704152744
31Mar2023,56723200000.0,5.85,9696273504
31Dec2022,44762500000.0,4.62,9688852813
30Sep2022,33312000000.0,3.44,9683720930
30Jun2022,36764300000.0,3.79,9700343007
31Mar2022,50138200000.0,5.33,9406791744
31Dec2021,41319900000.0,4.26,9699507042
30Sep2021,32119100000.0,3.31,9703655589
30Jun2021,31456300000.0,3.24,9708734567
31Mar2021,44792200000.0,4.62,9695281385
31Dec2020,33153400000.0,3.35,9896537313
30Sep2020,35048000000.0,3.54,9900564971
30Jun2020,24701600000.0,2.5,9880640000
31Mar2020,12524400000.0,1.27,9861732283
31Dec2019,29951400000.0,3.03,9884950495
30Sep2019,32624400000.0,3.3,9886181818
31Mar2019,43503200000.0,4.4,9887090909
31Dec2018,23854100000.0,2.89,8254013840
30Sep2018,24260200000.0,2.94,8251768707
30Jun2018,25881400000.0,3.14,8242484076
31Mar2018,29255900000.0,3.54,8264378531
