DateOfEndOfReportingPeriod,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
31Dec2024,82399200000.0,6.55,12580030534
30Sep2024,119840200000.0,9.53,12575047219
30Jun2024,89381000000.0,7.1,12588873239
31Mar2024,98693700000.0,7.85,12572445859
31Dec2023,95356700000.0,7.58,12580039577
30Sep2023,102163200000.0,8.12,12581674876
30Jun2023,100150400000.0,7.96,12581708542
31Mar2023,-2477000000.0,-0.2,12385000000
31Dec2022,110447300000.0,8.78,12579419134
30Sep2022,128259900000.0,10.2,12574500000
30Jun2022,152058500000.0,12.09,12577212572
31Dec2021,109363300000.0,8.69,12584959723
30Sep2021,183477300000.0,14.58,12584176954
30Jun2021,43347500000.0,3.45,12564492753
31Mar2021,67339700000.0,5.35,12586859813
31Dec2020,13782300000.0,1.1,12529363636
30Sep2020,28778400000.0,2.29,12566986899
30Jun2020,4959700000.0,0.39,12717179487
31Mar2020,-30982600000.0,-2.46,12594552845
31Dec2019,41516300000.0,3.3,12580696969
30Sep2019,62631300000.0,4.98,12576566265
30Jun2019,59042500000.0,4.69,12589019189
31Mar2019,40446000000.0,3.18,12718867924
31Dec2018,82627000000.0,6.44,12830279503
30Sep2018,82646100000.0,6.44,12833245341
30Jun2018,61438800000.0,4.79,12826471816
31Mar2018,59151200000.0,4.61,12831062906
