FilingDate,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
16Jan2025,218040000000.0,13.7,15915328467
14Oct2024,77130000000.0,11.4,6765789473
19Jul2024,174480000000.0,22.37,7799731783
22Apr2024,112830000000.0,16.68,6764388489
19Jan2024,99240000000.0,14.67,6764826175
27Oct2023,112080000000.0,16.56,6768115942
21Jul2023,97260000000.0,14.38,6763560500
21Apr2023,138210000000.0,20.43,6765051395
20Jan2023,83730000000.0,12.38,6763327948
21Oct2022,69150000000.0,10.22,6766144814
25Jul2022,150960000000.0,22.31,6766472433
06May2022,110940000000.0,16.4,6764634146
21Jan2022,101670000000.0,15.39,6606237816
22Oct2021,92280000000.0,14.09,6549325762
23Jul2021,85950000000.0,13.28,6472138554
30Apr2021,76170000000.0,11.82,6444162436
22Jan2021,86280000000.0,13.39,6443614637
30Oct2020,65460000000.0,10.16,6442913385
30Jul2020,97530000000.0,15.25,6395409836
03Jun2020,65750000000.0,10.01,6568431568
30Apr2020,25800000000.0,4.07,6339066339
17Jan2020,95850000000.0,15.12,6339285714
18Oct2019,97020000000.0,15.31,6337034617
19Jul2019,90360000000.0,14.26,6336605890
06May2019,103590000000.0,17.49,5922813036
17Jan2019,89280000000.0,14.08,6340909090
22Oct2018,88590000000.0,13.98,6336909871
19Oct2018,95480000000.0,16.06,5945205479
07Aug2018,94750000000.0,15.97,5932999373
