FilingDate,PaidUpValueOfEquityShareCapital,FaceValueOfEquityShareCapital,NumberOfShares
16Jan2025,135320000000,10,13532000000
14Oct2024,67660000000,10,6766000000
19Jul2024,67660000000,10,6766000000
22Apr2024,67660000000,10,6766000000
19Jan2024,67660000000,10,6766000000
27Oct2023,67660000000,10,6766000000
21Jul2023,67660000000,10,6766000000
21Apr2023,67660000000,10,6766000000
20Jan2023,67660000000,10,6766000000
21Oct2022,67660000000,10,6766000000
25Jul2022,67650000000,10,6765000000
06May2022,67650000000,10,6765000000
21Jan2022,67650000000,10,6765000000
22Oct2021,65510000000,10,6551000000
23Jul2021,65500000000,10,6550000000
30Apr2021,64450000000,10,6445000000
22Jan2021,64450000000,10,6445000000
30Oct2020,64450000000,10,6445000000
30Jul2020,64450000000,10,6445000000
03Jun2020,63390000000,10,6339000000
30Apr2020,63390000000,10,6339000000
17Jan2020,63390000000,10,6339000000
18Oct2019,63390000000,10,6339000000
19Jul2019,63390000000,10,6339000000
06May2019,59260000000,10,5926000000
17Jan2019,63390000000,10,6339000000
22Oct2018,63380000000,10,6338000000
19Oct2018,59260000000,10,5926000000
07Aug2018,59240000000,10,5924000000
