filingDate,quarter,XBRL link
16-Jan-2025 20:20,Third Quarter,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117298_1348254_16012025082021.xml
16-Jan-2025 20:15,Third Quarter,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117297_1348248_16012025081520.xml
14-Oct-2024 19:32,Second Quarter,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_112771_1269085_14102024073244.xml
14-Oct-2024 19:29,Second Quarter,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_112770_1269079_14102024072938.xml
19-Jul-2024 19:33,First Quarter,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_109173_1196029_19072024073334.xml
19-Jul-2024 19:31,First Quarter,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_109172_1196014_19072024073145.xml
22-Apr-2024 19:47,Fourth Quarter,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_104634_1106038_22042024074704.xml
22-Apr-2024 19:40,Fourth Quarter,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_104633_1106029_22042024074028.xml
19-Jan-2024 19:17,Third Quarter,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_101209_1030568_19012024071754.xml
19-Jan-2024 19:14,Third Quarter,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_101208_1030548_19012024071439.xml
27-Oct-2023 20:26,Second Quarter,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_98088_969568_27102023082617.xml
27-Oct-2023 20:21,Second Quarter,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_98087_969563_27102023082147.xml
21-Jul-2023 20:38,First Quarter,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_94381_898237_21072023083827.xml
21-Jul-2023 20:34,First Quarter,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_94380_898231_21072023083439.xml
21-Apr-2023 19:59,Fourth Quarter,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_90782_831396_21042023075933.xml
21-Apr-2023 19:57,Fourth Quarter,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_90781_831386_21042023075712.xml
20-Jan-2023 19:43,Third Quarter,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_87603_776169_20012023074330_WEB.xml
20-Jan-2023 19:39,Third Quarter,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_87602_776152_20012023073907_WEB.xml
21-Oct-2022 19:58,Second Quarter,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_788927_4687_21102022195847_WEB.xml
21-Oct-2022 19:58,Second Quarter,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_788928_4687_21102022195847_WEB.xml
25-Jul-2022 18:09,First Quarter,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_602747_2346_25072022180921_WEB.xml
25-Jul-2022 18:08,First Quarter,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_602737_2346_25072022180852_WEB.xml
06-May-2022 20:32,Fourth Quarter,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_84064_651788_06052022083214_WEB.xml
21-Jan-2022 20:27,Third Quarter,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_80327_597575_21012022082751_WEB.xml
21-Jan-2022 20:26,Third Quarter,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_80325_597567_21012022082559_WEB.xml
22-Oct-2021 21:30,Second Quarter,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_76648_545139_22102021093028_WEB.xml
22-Oct-2021 21:27,Second Quarter,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_76647_545136_22102021092730_WEB.xml
23-Jul-2021 20:08,First Quarter,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_73303_495024_23072021080800_WEB.xml
23-Jul-2021 20:06,First Quarter,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_73302_495021_23072021080622_WEB.xml
30-Apr-2021 20:02,Fourth Quarter,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_69589_445286_30042021080201_WEB.xml
30-Apr-2021 20:00,Fourth Quarter,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_69588_445283_30042021080022_WEB.xml
22-Jan-2021 20:27,Third Quarter,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_66241_397674_22012021082723_WEB.xml
22-Jan-2021 20:25,Third Quarter,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_66240_397671_22012021082555_WEB.xml
30-Oct-2020 21:05,Second Quarter,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_62734_353038_30102020090502_WEB.xml
30-Oct-2020 21:03,Second Quarter,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_62733_353035_30102020090324_WEB.xml
30-Jul-2020 22:11,First Quarter,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_58734_300010_30072020101141_WEB.xml
30-Jul-2020 22:09,First Quarter,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_58733_300006_30072020100922_WEB.xml
03-Jun-2020 11:45,Fourth Quarter,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_54974_246436_30042020101801_WEB.xml
30-Apr-2020 22:13,Fourth Quarter,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_54973_246431_30042020101344_WEB.xml
17-Jan-2020 19:40,Third Quarter,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_51509_205240_17012020074024_WEB.xml
17-Jan-2020 19:37,Third Quarter,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_51508_205237_17012020073738_WEB.xml
18-Oct-2019 20:50,Second Quarter,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_48648_154061_18102019085041_WEB.xml
18-Oct-2019 20:36,Second Quarter,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_48646_154045_18102019083610_WEB.xml
19-Jul-2019 19:24,First Quarter,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_46065_121955_19072019072403_WEB.xml
19-Jul-2019 19:21,First Quarter,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_46064_121945_19072019072122_WEB.xml
06-May-2019 14:20,Fourth Quarter,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_43585_97150_19042019113343_WEB.xml
06-May-2019 14:13,Fourth Quarter,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_43586_97155_19042019114014_WEB.xml
17-Jan-2019 19:52,Third Quarter,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_41556_74178_17012019065221_WEB.xml
