DateOfEndOfReportingPeriod,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
31Dec2024,35697600000.0,18.99,1879810426
30Sep2024,20712600000.0,55.09,375977491
30Jun2024,19805900000.0,52.7,375823529
31Mar2024,19458700000.0,51.79,375723112
31Dec2023,18183300000.0,48.42,375532837
30Sep2023,17508400000.0,46.67,375153203
30Jun2023,16754400000.0,44.73,374567404
31Mar2023,13083100000.0,34.94,374444762
31Dec2022,17769700000.0,47.46,374414243
30Sep2022,10668700000.0,39.54,269820435
30Jun2022,9652700000.0,35.68,270535313
31Mar2022,10861300000.0,40.15,270518057
31Dec2021,6806200000.0,25.26,269445764
30Sep2021,7712400000.0,28.71,268631138
30Jun2021,1699400000.0,6.64,255933734
31Mar2021,7549300000.0,30.65,246306688
31Dec2020,7277200000.0,29.54,246350710
30Sep2020,6845600000.0,27.79,246333213
30Jun2020,3200600000.0,14.11,226832034
31Mar2020,2233800000.0,9.85,226781725
31Dec2019,8791600000.0,38.88,226121399
30Sep2018,6095800000.0,26.86,226947133
