DateOfEndOfReportingPeriod,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
31Dec2024,11810500000.0,4.9,2410306122
30Sep2024,8632900000.0,3.6,2398027777
30Jun2024,2378200000.0,1.0,2378200000
31Mar2024,8676000000.0,3.6,2410000000
31Dec2023,7213100000.0,3.0,2404366666
30Sep2023,8886300000.0,3.7,2401702702
30Jun2023,3806400000.0,1.6,2379000000
31Mar2023,-10208200000.0,-4.3,2374000000
31Dec2022,4867300000.0,2.0,2433650000
30Sep2022,12130100000.0,5.1,2378450980
30Jun2022,20958500000.0,8.6,2437034883
31Mar2022,-12862100000.0,-5.4,2381870370
31Dec2021,5154300000.0,2.1,2454428571
30Sep2021,8090700000.0,3.4,2379617647
30Jun2021,4193000000.0,1.75,2396000000
31Mar2021,3273900000.0,1.36,2407279411
31Dec2020,5555500000.0,2.32,2394612068
30Sep2020,7248100000.0,3.02,2400033112
30Jun2020,5319500000.0,2.22,2396171171
31Mar2020,4943500000.0,1.67,2960179640
31Dec2019,4687600000.0,1.95,2403897435
30Sep2019,8231600000.0,3.43,2399883381
30Jun2019,7633700000.0,3.18,2400534591
31Mar2019,7230500000.0,2.65,2728490566
31Dec2018,14591900000.0,5.18,2816969111
30Sep2018,-1069700000.0,-0.91,1175494505
30Jun2018,2593900000.0,1.08,2401759259
31Mar2018,1762600000.0,0.7,2518000000
