DateOfEndOfReportingPeriod,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
31Dec2024,5698100000.0,5.76,989253472
30Sep2024,2230100000.0,2.31,965411255
30Jun2024,1880800000.0,1.97,954720812
31Mar2024,1448100000.0,0.0,0
31Dec2023,2809100000.0,3.02,930165562
30Sep2023,2677900000.0,2.88,929826388
30Jun2023,2854500000.0,3.07,929804560
31Mar2023,3455800000.0,2.89,1195778546
31Dec2022,2372600000.0,2.56,926796875
30Sep2022,2295200000.0,2.49,921767068
30Jun2022,2328300000.0,2.53,920276679
31Mar2022,2061900000.0,2.24,920491071
31Dec2021,1874800000.0,2.03,923546798
30Sep2021,1883400000.0,2.04,923235294
30Jun2021,3037400000.0,3.3,920424242
31Mar2021,816900000.0,0.89,917865168
31Dec2020,2370300000.0,2.37,1000126582
30Sep2020,1693900000.0,1.84,920597826
30Jun2020,2323100000.0,2.52,921865079
31Mar2020,-502100000.0,-0.83,604939759
31Dec2019,942200000.0,1.49,632348993
30Sep2019,997000000.0,1.58,631012658
30Jun2019,1491100000.0,1.99,749296482
31Mar2019,532600000.0,0.84,634047619
31Dec2018,896600000.0,1.42,631408450
30Sep2018,1203000000.0,1.9,633157894
31Mar2018,531600000.0,0.84,632857142
