DateOfEndOfReportingPeriod,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
31Dec2024,118320000000.0,32.71,3617242433
30Sep2024,129940000000.0,35.91,3618490671
30Jun2024,121150000000.0,33.48,3618578255
31Mar2024,125020000000.0,34.37,3637474541
31Dec2023,110970000000.0,30.29,3663585341
30Sep2023,109290000000.0,29.87,3658855038
30Jun2023,111200000000.0,30.26,3674818241
31Mar2023,98000000000.0,26.79,3658081373
31Dec2022,106590000000.0,29.13,3659114315
30Sep2022,100590000000.0,27.49,3659148781
30Jun2022,85880000000.0,23.47,3659139326
31Mar2022,97950000000.0,26.48,3699018126
31Dec2021,99590000000.0,26.93,3698106201
30Sep2021,96530000000.0,26.02,3709838585
30Jun2021,82810000000.0,22.39,3698526127
31Mar2021,81740000000.0,22.08,3701992753
31Dec2020,92420000000.0,24.63,3752334551
30Sep2020,74480000000.0,19.85,3752141057
30Jun2020,60960000000.0,16.25,3751384615
31Mar2020,82270000000.0,21.92,3753193430
31Dec2019,76830000000.0,20.47,3753297508
30Sep2019,80580000000.0,21.43,3760149323
30Jun2019,87140000000.0,23.22,3752799310
31Mar2019,81520000000.0,21.65,3765357967
31Dec2018,74860000000.0,19.95,3752380952
30Sep2018,79270000000.0,20.66,3836882865
