DateOfEndOfReportingPeriod,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
31Dec2024,14040000000.0,3.81,3685039370
30Sep2024,4770000000.0,1.38,3456521739
30Jun2024,21900000000.0,5.7,3842105263
31Mar2024,21264000000.0,5.54,3838267148
31Dec2023,45700500000.0,11.92,3833934563
30Sep2023,12696400000.0,3.3,3847393939
30Jun2023,-640400000.0,-0.17,3767058823
31Mar2023,26955600000.0,7.03,3834366998
31Dec2022,5061900000.0,1.31,3864045801
30Sep2022,-2925900000.0,-0.76,3849868421
30Jun2022,-1810300000.0,-0.47,3851702127
31Mar2022,4133500000.0,1.07,3863084112
31Dec2021,-13381700000.0,-3.96,3379217171
30Sep2021,-5756800000.0,-1.5,3837866666
30Jun2021,-13207400000.0,-3.45,3828231884
31Mar2021,16456900000.0,4.37,3765881006
31Dec2020,-6380400000.0,-1.77,3604745762
30Sep2020,-12124500000.0,-3.37,3597774480
31Mar2020,-48710500000.0,-13.54,3597525849
31Dec2019,-10395100000.0,-3.01,3453521594
30Sep2019,-12819700000.0,-3.78,3391455026
30Jun2019,-971000000.0,-0.29,3348275862
31Mar2019,1061900000.0,0.3,3539666666
31Dec2018,-268232200000.0,-79.49,3374414391
30Sep2018,-10953400000.0,-3.09,3544789644
30Jun2018,-21686000000.0,-5.6,3872500000
31Mar2018,13305400000.0,6.24,2132275641
