DateOfEndOfReportingPeriod,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
31Dec2024,4693300000.0,13.2,355553030
30Sep2024,4234400000.0,11.91,355533165
30Jun2024,3421500000.0,9.62,355665280
31Mar2024,6542800000.0,18.41,355393807
31Dec2023,3436000000.0,9.67,355325749
30Sep2023,2896700000.0,8.15,355423312
30Jun2023,1482700000.0,4.17,355563549
31Mar2023,1051300000.0,2.96,355168918
31Dec2022,1609700000.0,4.53,355342163
30Sep2022,1858500000.0,5.23,355353728
30Jun2022,1026200000.0,2.89,355086505
31Mar2022,748700000.0,2.11,354834123
31Dec2021,1328900000.0,3.74,355320855
30Sep2021,1256198000.0,3.53,355863456
30Jun2021,-837553000.0,-2.36,354895338
31Mar2021,568754000.0,1.6,355471250
31Dec2020,796630000.0,2.24,355638392
30Sep2020,-480930000.0,-1.35,356244444
30Jun2020,-1394594000.0,-3.92,355763775
31Mar2020,326523000.0,0.36,907008333
31Dec2019,557423000.0,1.57,355046496
30Sep2019,382852000.0,1.1,348047272
30Jun2019,579418000.0,1.74,332998850
31Mar2019,159517000.0,0.48,332327083
31Dec2018,402796000.0,1.21,332889256
30Sep2018,329069000.0,0.99,332392929
30Jun2018,383557000.0,1.15,333527826
31Mar2018,116642000.0,0.35,333262857
