DateOfEndOfReportingPeriod,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
31Dec2024,8740000000.0,11.5,760000000
30Sep2024,280000000.0,0.37,756756756
30Jun2024,-4950000000.0,-6.02,822259136
31Mar2024,-1250000000.0,0.52,-2403846153
31Dec2023,-15810000000.0,-17.11,924021040
30Sep2023,-890000000.0,-2.54,350393700
30Jun2023,2670000000.0,3.55,752112676
31Mar2023,-1630000000.0,-2.17,751152073
31Dec2022,3230000000.0,4.3,751162790
30Sep2022,3360000000.0,4.48,749999999
30Jun2022,4790000000.0,6.33,756714060
31Mar2022,7030000000.0,9.2,764130434
31Dec2021,570000000.0,0.75,760000000
30Sep2021,7640000000.0,8.29,921592279
30Jun2021,7530000000.0,8.08,931930693
31Mar2021,13010000000.0,12.75,1020392156
31Dec2020,990000000.0,1.3,761538461
30Sep2020,1040000000.0,1.36,764705882
30Jun2020,1490000000.0,1.95,764102564
31Mar2020,7610000000.0,8.08,941831683
31Dec2019,1450000000.0,1.89,767195767
30Sep2019,1110000000.0,1.17,948717948
30Jun2019,130000000.0,0.17,764705882
31Mar2019,-860000000.0,-1.69,508875739
31Dec2018,4720000000.0,9.05,521546961
30Sep2018,3480000000.0,6.83,509516837
