DateOfEndOfReportingPeriod,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
31Dec2024,6122700000.0,0.2,30613500000
30Sep2024,5530400000.0,0.18,30724444444
30Jun2024,5024300000.0,0.16,31401875000
31Mar2024,4518900000.0,0.16,28243125000
31Dec2023,2314600000.0,0.08,28932500000
30Sep2023,2252100000.0,0.08,28151250000
30Jun2023,3425200000.0,0.12,28543333333
31Mar2023,2024300000.0,0.07,28918571428
31Dec2022,515200000.0,0.02,25760000000
30Sep2022,1528200000.0,0.06,25470000000
30Jun2022,3141422000.0,0.125,25131376000
31Mar2022,3674602000.0,0.14,26247157142
31Dec2021,2664281000.0,0.11,24220736363
30Sep2021,2254984000.0,0.09,25055377777
30Jun2021,2068347000.0,0.08,25854337500
31Mar2021,-37909154000.0,-1.51,25105400000
31Dec2020,1507150000.0,0.06,25119166666
30Sep2020,1293766000.0,0.06,21562766666
30Jun2020,454419000.0,0.04,11360475000
31Mar2020,-36683245000.0,-8.3,4419668072
31Dec2019,-185603102000.0,-72.77,2550544207
30Sep2019,-6000800000.0,-2.46,2439349593
30Jun2019,955600000.0,0.41,2330731707
31Mar2019,-15066400000.0,-6.51,2314347158
31Dec2018,10018500000.0,4.33,2313741339
30Jun2018,12603600000.0,5.47,2304131627
