DateOfEndOfReportingPeriod,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
31Dec2024,10890700000.0,58.0,187770689
30Sep2024,2338700000.0,12.46,187696629
30Jun2024,3662300000.0,19.5,187810256
31Mar2024,7485440000.0,39.86,187793276
31Dec2023,5300860000.0,28.63,185150541
30Sep2023,3842900000.0,20.46,187825024
30Jun2023,4639300000.0,24.71,187749898
31Mar2023,2365700000.0,12.6,187753968
31Dec2022,1104500000.0,5.88,187840136
30Sep2022,-910900000.0,-4.85,187814432
30Jun2022,2221700000.0,11.83,187802197
31Mar2022,3926900000.0,21.1,186109004
30Sep2021,4490400000.0,23.91,187804265
30Jun2021,5338100000.0,28.43,187762926
31Mar2021,5574100000.0,29.68,187806603
31Dec2020,4685500000.0,25.16,186228139
30Sep2020,3632500000.0,19.38,187435500
30Jun2020,2679900000.0,14.27,187799579
31Mar2020,3199400000.0,17.04,187758215
31Dec2019,2692200000.0,14.34,187740585
30Sep2019,2999700000.0,15.97,187833437
30Jun2019,4513000000.0,24.03,187806908
31Mar2019,3384200000.0,18.02,187802441
31Dec2018,7304700000.0,38.9,187781491
30Sep2018,2066900000.0,11.14,185538599
30Jun2018,3255100000.0,17.33,187830351
