DateOfEndOfReportingPeriod,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
31Dec2024,5382500000.0,4.7,1145212765
30Sep2024,6335300000.0,5.56,1139442446
30Jun2024,6060200000.0,5.31,1141280602
31Mar2024,7752600000.0,6.8,1140088235
31Dec2023,19176700000.0,16.57,1157314423
30Sep2023,3932200000.0,2.0,1966100000
30Jun2023,5872800000.0,5.15,1140349514
31Mar2023,4408800000.0,3.87,1139224806
31Dec2022,2697100000.0,2.36,1142838983
30Sep2022,4692000000.0,4.11,1141605839
30Jun2022,4429400000.0,3.95,1121367088
31Mar2022,2550100000.0,2.77,920613718
31Dec2021,-364600000.0,-0.33,1104848484
30Sep2021,2736950000.0,2.49,1099176706
30Jun2021,2567700000.0,2.33,1102017167
31Mar2021,1268400000.0,1.15,1102956521
31Dec2020,2866000000.0,2.7,1061481481
30Sep2020,3992400000.0,3.3,1209818181
30Jun2020,-813400000.0,-0.74,1099189189
31Mar2020,-806000000.0,-0.73,1104109589
31Dec2019,2080800000.0,1.89,1100952380
30Sep2019,1026400000.0,0.93,1103655913
30Jun2019,4687900000.0,4.26,1100446009
31Mar2019,2098100000.0,2.58,813217054
31Dec2018,1880500000.0,1.71,1099707602
30Sep2018,-248400000.0,-0.23,1080000000
31Mar2018,909900000.0,0.83,1096265060
