DateOfEndOfReportingPeriod,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
31Dec2024,4088900000.0,1.89,2163439153
30Sep2024,5721400000.0,2.65,2159018867
30Jun2024,31843900000.0,14.41,2209847328
31Mar2024,20495100000.0,9.44,2171091101
31Dec2023,5254900000.0,2.43,2162510288
30Sep2023,17158100000.0,8.09,2120902348
30Jun2023,3941100000.0,1.82,2165439560
31Mar2023,1918500000.0,0.89,2155617977
31Dec2022,13166000000.0,6.09,2161904761
30Sep2022,-2981800000.0,-1.38,2160724637
30Jun2022,9861300000.0,5.077,1942347843
31Mar2022,-6024900000.0,-2.85,2114000000
31Dec2021,4833700000.0,2.29,2110786026
30Sep2021,9327900000.0,4.66,2001695278
30Jun2021,1884000000.0,0.92,2047826086
31Mar2021,13271500000.0,6.34,2093296529
31Dec2020,6225500000.0,3.06,2034477124
30Sep2020,6957200000.0,3.42,2034269005
30Jun2020,2865800000.0,1.41,2032482269
31Mar2020,5002900000.0,2.46,2033699186
31Dec2019,13565900000.0,6.66,2036921921
30Sep2019,4858000000.0,2.35,2067234042
31Mar2019,13142200000.0,6.21,2116296296
31Dec2018,9163200000.0,4.42,2073122171
30Sep2018,6875600000.0,3.32,2070963855
31Mar2018,7005900000.0,3.38,2072751479
