DateOfEndOfReportingPeriod,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
31Dec2024,17580300000.0,7.14,2462226890
30Sep2024,5006530000.0,2.03,2466270935
30Jun2024,5706500000.0,2.36,2418008474
31Mar2024,5322900000.0,2.68,1986156716
31Dec2023,5136800000.0,2.59,1983320463
30Sep2023,6438400000.0,3.24,1987160493
30Jun2023,6448800000.0,3.25,1984246153
31Mar2023,5024000000.0,2.53,1985770750
31Dec2022,3689900000.0,1.86,1983817204
30Sep2022,1378900000.0,0.69,1998405797
31Mar2022,4951700000.0,2.49,1988634538
31Dec2021,2516600000.0,1.27,1981574803
30Sep2021,4412300000.0,2.22,1987522522
30Jun2021,7230800000.0,3.64,1986483516
31Mar2021,12218600000.0,4.77,2561551362
31Dec2020,4971000000.0,2.5,1988400000
30Sep2020,4405300000.0,2.22,1984369369
30Jun2020,4533700000.0,2.28,1988464912
31Mar2020,3991000000.0,2.01,1985572139
31Dec2019,7159600000.0,2.98,2402550335
30Sep2019,2346100000.0,1.18,1988220338
30Jun2019,4120500000.0,2.08,1981009615
31Dec2018,13744400000.0,4.91,2799266802
30Sep2018,3929700000.0,1.45,2710137931
30Jun2018,6819700000.0,2.65,2573471698
