DateOfEndOfReportingPeriod,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
31Dec2024,3416000000.0,23.76,143771043
30Sep2024,3696000000.0,25.71,143757292
30Jun2024,2517000000.0,17.51,143746430
31Mar2024,2388000000.0,16.61,143768813
31Dec2023,2629000000.0,18.28,143818380
30Sep2023,2948000000.0,20.5,143804878
30Jun2023,2141000000.0,14.89,143787777
31Mar2023,2268600000.0,15.78,143764258
31Dec2022,2455900000.0,17.08,143788056
30Sep2022,2791900000.0,19.42,143764160
30Jun2022,3358000000.0,22.05,152290249
31Mar2022,1487500000.0,10.35,143719806
31Dec2021,2372900000.0,15.88,149426952
30Sep2021,1858900000.0,12.93,143766434
30Jun2021,1500400000.0,10.44,143716475
31Mar2021,1155200000.0,8.1,142617283
31Dec2020,1186200000.0,9.38,126460554
30Sep2020,325200000.0,2.34,138974358
30Jun2020,-1491100000.0,-10.72,139095149
31Mar2020,2056000000.0,14.78,139106901
31Dec2019,947500000.0,6.81,139133627
30Sep2019,906000000.0,6.51,139170506
31Mar2019,766800000.0,5.51,139165154
31Dec2018,869300000.0,6.25,139088000
30Sep2018,789800000.0,5.68,139049295
30Jun2018,601600000.0,4.32,139259259
31Mar2018,596400000.0,4.29,139020979
