DateOfEndOfReportingPeriod,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
31Dec2024,11085900000.0,11.56,958987889
30Sep2024,6023100000.0,6.28,959092356
30Jun2024,11924000000.0,12.44,958520900
31Mar2024,12093900000.0,12.61,959072164
31Dec2023,14435400000.0,15.06,958525896
30Sep2023,11602500000.0,12.1,958884297
30Jun2023,15083700000.0,15.73,958912905
31Mar2023,12350600000.0,12.87,959642579
31Dec2022,10858800000.0,11.32,959257950
30Sep2022,7632900000.0,7.96,958907035
30Jun2022,10716900000.0,10.6,1011028301
31Mar2022,8999600000.0,9.38,959445628
31Dec2021,10202600000.0,10.64,958890977
30Sep2021,6186300000.0,6.45,959116279
30Jun2021,5960600000.0,6.21,959838969
31Mar2021,8196000000.0,8.54,959718969
31Dec2020,11879300000.0,12.38,959555735
30Sep2020,7931000000.0,8.27,959008464
30Jun2020,2518800000.0,2.63,957718631
31Mar2020,4520900000.0,4.71,959851380
31Dec2019,7588900000.0,7.91,959405815
30Sep2019,7905200000.0,8.24,959368932
30Jun2019,6524500000.0,6.8,959485294
31Mar2019,4796800000.0,5.0,959360000
31Dec2018,6317300000.0,6.63,952835595
30Sep2018,4979400000.0,5.14,968754863
30Jun2018,5426300000.0,5.66,958710247
31Mar2018,4915700000.0,5.12,960097656
