DateOfEndOfReportingPeriod,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
31Dec2024,4720500000.0,8.13,580627306
30Sep2024,5375300000.0,9.21,583637350
30Jun2024,3290400000.0,5.62,585480427
31Mar2024,5786700000.0,9.88,585698380
31Dec2023,6237800000.0,10.65,585708920
30Sep2023,3796500000.0,6.48,585879629
30Jun2023,3180000000.0,5.43,585635359
31Mar2023,6448000000.0,11.0,586181818
31Dec2022,2988200000.0,5.1,585921568
30Sep2022,1646300000.0,2.81,585871886
30Jun2022,5243500000.0,8.88,590484234
31Mar2022,8021600000.0,13.69,585945945
31Dec2021,2398100000.0,4.09,586332518
30Sep2021,1976800000.0,3.37,586587537
30Jun2021,7789700000.0,13.14,592823439
31Mar2021,8095500000.0,13.67,592209217
31Dec2020,7405100000.0,12.64,585846518
30Sep2020,8015400000.0,13.68,585921052
30Jun2020,7146800000.0,12.2,585803278
31Mar2020,7250400000.0,12.37,586127728
31Dec2019,4190700000.0,7.15,586111888
30Sep2019,3981300000.0,6.8,585485294
31Dec2018,4635100000.0,7.91,585979772
30Sep2018,3809500000.0,6.5,586076923
31Mar2018,3082900000.0,5.26,586102661
