DateOfEndOfReportingPeriod,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
31Dec2024,63037700000.0,20.37,3094634266
30Sep2024,69175700000.0,22.37,3092342422
30Jun2024,60346400000.0,19.54,3088352098
31Mar2024,71296700000.0,23.11,3085101687
31Dec2023,60711000000.0,19.69,3083341797
30Sep2023,58635600000.0,19.03,3081219127
30Jun2023,57971000000.0,18.83,3078651088
31Mar2023,-57284200000.0,-18.62,3076487647
31Dec2022,62093700000.0,20.13,3084634873
30Sep2022,56252500000.0,18.27,3078954570
30Jun2022,41252600000.0,13.43,3071675353
31Mar2022,41177700000.0,13.42,3068383010
31Dec2021,36142400000.0,11.78,3068115449
30Sep2021,31333200000.0,10.22,3065870841
30Jun2021,21601500000.0,7.05,3064042553
31Mar2021,26770600000.0,8.74,3062997711
31Dec2020,11166000000.0,3.65,3059178082
30Sep2020,16826700000.0,5.7,2952052631
30Jun2020,11121700000.0,3.94,2822766497
31Mar2020,-13877800000.0,-4.92,2820691056
31Dec2019,18840000000.0,6.65,2833082706
30Jun2019,12629800000.0,4.87,2593388090
31Mar2019,15050600000.0,5.85,2572752136
31Dec2018,16808500000.0,6.54,2570107033
30Jun2018,7010900000.0,2.73,2568095238
