DateOfEndOfReportingPeriod,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
31Dec2024,21087300000.0,75.5,279301986
30Sep2024,20050400000.0,71.9,278865090
30Jun2024,19883400000.0,71.2,279261235
31Mar2024,19360000000.0,68.5,282627737
31Dec2023,20418800000.0,72.2,282808864
30Sep2023,18361400000.0,64.9,282918335
30Jun2023,16647700000.0,58.9,282643463
31Mar2023,14328800000.0,50.7,282619329
31Dec2022,14914200000.0,52.7,283001897
30Sep2022,15300000000.0,53.5,285981308
31Mar2022,14689500000.0,50.8,289163385
31Dec2021,12141900000.0,42.0,289092857
30Sep2021,12745500000.0,44.1,289013605
30Jun2021,10611800000.0,36.7,289149863
31Mar2021,13320700000.0,46.1,288952277
31Dec2020,15562800000.0,53.8,289271375
30Sep2020,11382000000.0,39.3,289618320
30Jun2020,5280400000.0,18.3,288546448
31Mar2020,12049200000.0,46.8,257461538
31Dec2019,12616000000.0,43.6,289357798
30Sep2019,14024200000.0,48.5,289158762
30Jun2019,11256700000.0,38.9,289375321
31Mar2019,13055900000.0,45.1,289487804
31Dec2018,11018800000.0,38.1,289207349
30Sep2018,11517200000.0,43.4,265373271
30Jun2018,10199200000.0,36.0,283311111
31Mar2018,10793400000.0,40.6,265847290
