DateOfEndOfReportingPeriod,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
31Dec2024,106900000.0,0.1,1069000000
30Sep2024,9075700000.0,5.7,1592228070
30Jun2024,6330400000.0,4.0,1582600000
31Mar2024,78200000.0,0.05,1564000000
31Dec2023,43900000.0,0.03,1463333333
30Sep2023,7543400000.0,4.7,1604978723
30Jun2023,4035100000.0,2.5,1614040000
31Mar2023,94600000.0,0.1,946000000
31Dec2022,49300000.0,0.03,1643333333
30Sep2022,4850800000.0,3.0,1616933333
30Jun2022,2330500000.0,14.6,159623287
31Mar2022,168700000.0,1.1,153363636
31Dec2021,23495200000.0,78.9,297784537
30Sep2021,2384900000.0,15.0,158993333
30Jun2021,3700000.0,0.0,0
31Mar2021,1687000000.0,10.6,159150943
31Dec2020,84000000.0,0.5,168000000
30Sep2020,16183600000.0,62.0,261025806
30Jun2020,10400000.0,0.1,104000000
31Mar2020,3181500000.0,20.0,159075000
31Dec2019,31900000.0,0.2,159500000
30Jun2019,4900000.0,0.0,0
31Dec2018,76800000.0,0.5,153600000
30Sep2018,11908000000.0,44.2,269411764
30Jun2018,60900000.0,0.4,152250000
