DateOfEndOfReportingPeriod,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
31Dec2024,37058100000.0,59.89,618769410
30Sep2024,56137100000.0,90.76,618522476
30Jun2024,34015400000.0,55.03,618124659
31Mar2024,34019100000.0,55.07,617742872
31Dec2023,31773900000.0,51.89,612331855
30Sep2023,31057500000.0,51.32,605173421
30Jun2023,29590600000.0,48.93,604753729
31Mar2023,28373600000.0,46.95,604336528
31Dec2022,26242200000.0,43.43,604241307
30Sep2022,24722400000.0,40.94,603869076
30Jun2022,23559200000.0,39.04,603463114
31Mar2022,22679500000.0,37.6,603178191
31Dec2021,19338500000.0,32.08,602821072
30Sep2021,13057700000.0,21.67,602570373
30Jun2021,8429200000.0,14.0,602085714
31Mar2021,11608500000.0,19.31,601165199
31Dec2020,10485800000.0,17.45,600905444
30Sep2020,8765800000.0,14.6,600397260
30Jun2020,8695000000.0,14.49,600069013
31Mar2020,8915700000.0,14.86,599979811
31Dec2019,14881500000.0,25.19,590770146
31Dec2018,10595600000.0,18.38,576474428
30Sep2018,9202800000.0,15.97,576255479
