DateOfEndOfReportingPeriod,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
31Dec2024,48373400000.0,9.35,5173625668
30Sep2024,54550400000.0,10.36,5265482625
30Jun2024,44581500000.0,8.62,5171867749
31Mar2024,48864900000.0,9.45,5170888888
31Dec2023,45793300000.0,8.86,5168544018
30Sep2023,42528900000.0,8.22,5173832116
30Jun2023,40700700000.0,7.87,5171626429
31Mar2023,51101300000.0,10.16,5029655511
31Dec2022,38527400000.0,7.45,5171463087
30Sep2022,33134200000.0,6.41,5169141965
31Mar2022,17787700000.0,3.44,5170843023
31Dec2021,21970300000.0,4.25,5169482352
30Sep2021,20878500000.0,4.04,5167945544
31Mar2021,-10465000000.0,-2.24,4671875000
31Dec2020,10611100000.0,2.3,4613521739
30Sep2020,16786000000.0,3.63,4624242424
30Jun2020,-8642600000.0,-1.87,4621711229
31Mar2020,5065900000.0,0.95,5332526315
31Dec2019,-14069500000.0,-3.7,3802567567
30Sep2019,8538200000.0,2.33,3664463519
30Jun2019,7098700000.0,2.04,3479754901
31Dec2018,4712500000.0,1.78,2647471910
30Jun2018,5282600000.0,2.0,2641300000
