DateOfEndOfReportingPeriod,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
31Dec2024,13160600000.0,1.81,7271049723
30Sep2024,10912700000.0,1.49,7323959731
30Jun2024,7761400000.0,1.06,7322075471
31Mar2024,17835200000.0,2.44,7309508196
31Dec2023,8933000000.0,1.22,7322131147
30Sep2023,8123400000.0,1.11,7318378378
30Jun2023,5308400000.0,0.73,7271780821
31Mar2023,13653600000.0,1.86,7340645161
31Dec2022,5987700000.0,0.82,7302073170
30Sep2022,6110500000.0,0.84,7274404761
30Jun2022,3561300000.0,1.5,2374200000
31Mar2022,11418100000.0,4.69,2434562899
31Dec2021,5833700000.0,2.39,2440878661
30Sep2021,6126000000.0,2.51,2440637450
30Jun2021,111500000.0,0.05,2230000000
31Mar2021,13523800000.0,5.55,2436720720
31Dec2020,2618600000.0,1.08,2424629629
30Sep2020,3970500000.0,1.63,2435889570
30Jun2020,541300000.0,0.22,2460454545
31Mar2020,10345200000.0,4.24,2439905660
31Dec2019,2150900000.0,0.89,2416741573
30Sep2019,3394900000.0,1.39,2442374100
30Jun2019,2047300000.0,0.84,2437261904
31Mar2019,6686200000.0,2.74,2440218978
31Dec2018,5076300000.0,2.09,2428851674
30Sep2018,5713100000.0,2.34,2441495726
30Jun2018,1797300000.0,0.74,2428783783
31Mar2018,5587400000.0,2.28,2450614035
