DateOfEndOfReportingPeriod,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
31Dec2024,144749000000.0,25.54,5667541111
30Sep2024,30795000000.0,6.21,4958937198
30Jun2024,38058000000.0,7.21,5278502080
31Mar2024,12379000000.0,3.61,3429085872
31Dec2023,14144000000.0,2.47,5726315789
30Sep2023,2930000000.0,0.51,5745098039
30Jun2023,9303000000.0,2.84,3275704225
31Mar2023,36250000000.0,5.3,6839622641
31Dec2022,29821000000.0,2.81,10612455516
30Sep2022,9489000000.0,1.68,5648214285
30Jun2022,4065000000.0,0.73,5568493150
31Mar2022,-24682000000.0,-4.42,5584162895
31Dec2021,-5879000000.0,-1.06,5546226415
30Sep2021,-1328000000.0,-0.24,5533333333
30Jun2021,-4361000000.0,-0.79,5520253164
31Mar2021,9836000000.0,1.39,7076258992
31Dec2020,-82394000000.0,-16.1,5117639751
30Sep2020,-8460000000.0,-1.55,5458064516
30Jun2020,-164618000000.0,-30.17,5456347364
31Mar2020,-68829000000.0,-12.73,5406834249
31Dec2019,-33881000000.0,-6.6,5133484848
30Sep2019,-245135000000.0,-47.77,5131567929
30Jun2019,-13037000000.0,-2.81,4639501779
31Mar2019,-366000000.0,-0.09,4066666666
31Dec2018,2271000000.0,0.57,3984210526
30Sep2018,859000000.0,0.3,2863333333
