DateOfEndOfReportingPeriod,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
31Dec2024,1247700000.0,0.36,3465833333
30Sep2024,966700000.0,0.28,3452499999
30Jun2024,-2125200000.0,-0.61,3483934426
31Mar2024,4843600000.0,1.39,3484604316
31Dec2023,-1627700000.0,-0.47,3463191489
30Sep2023,-2334100000.0,-0.67,3483731343
30Jun2023,-3516700000.0,-1.01,3481881188
31Mar2023,5981100000.0,1.72,3477383720
31Dec2022,310000000.0,0.09,3444444444
30Sep2022,102900000.0,0.03,3430000000
30Jun2022,-1918500000.0,-0.55,3488181818
31Mar2022,9088700000.0,2.61,3482260536
31Dec2021,142600000.0,0.04,3565000000
30Sep2021,-674900000.0,-0.19,3552105263
30Jun2021,-4563800000.0,-1.29,3537829457
31Mar2021,-10328800000.0,-2.97,3477710437
31Dec2020,-2309900000.0,-0.66,3499848484
30Sep2020,-5561200000.0,-1.6,3475750000
30Jun2020,-8971500000.0,-2.58,3477325581
31Mar2020,-15341200000.0,-4.41,3478730158
31Dec2019,1588200000.0,0.46,3452608695
30Sep2019,1185800000.0,0.34,3487647058
30Jun2019,-2243100000.0,-0.63,3560476190
31Mar2019,6827000000.0,1.88,3631382978
31Dec2018,1919500000.0,0.52,3691346153
30Sep2018,1851700000.0,0.5,3703400000
30Jun2018,1555800000.0,0.42,3704285714
31Mar2018,4571700000.0,1.25,3657360000
