DateOfEndOfReportingPeriod,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
31Dec2024,4582000000.0,155.37,29490892
30Sep2024,5359000000.0,181.7,29493670
30Jun2024,4655000000.0,157.83,29493759
31Mar2024,5645000000.0,191.4,29493207
31Dec2023,5181000000.0,175.69,29489441
30Sep2023,9989000000.0,338.71,29491305
30Jun2023,4090000000.0,138.69,29490230
31Mar2023,3990000000.0,135.3,29490022
31Dec2022,3189000000.0,108.1,29500462
30Sep2022,3724000000.0,126.3,29485352
31Mar2022,3506000000.0,118.9,29486963
31Dec2021,2348500000.0,79.6,29503768
30Sep2021,3719300000.0,126.2,29471473
30Jun2021,2597600000.0,88.3,29417893
31Mar2021,4820000000.0,163.4,29498164
31Dec2020,1857500000.0,63.0,29484126
30Sep2020,-647900000.0,-22.0,29450000
30Jun2020,-1204600000.0,-40.8,29524509
31Mar2020,811400000.0,27.5,29505454
31Dec2019,1194100000.0,40.5,29483950
30Sep2019,1026900000.0,34.8,29508620
31Mar2019,4117000000.0,136.5,30161172
31Dec2018,3353700000.0,109.9,30515923
30Sep2018,4199900000.0,137.6,30522529
30Jun2018,4309800000.0,141.2,30522662
31Mar2018,4337800000.0,142.1,30526389
