DateOfEndOfReportingPeriod,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
31Dec2024,46492000000.0,10.88,4273161764
30Sep2024,23972300000.0,5.61,4273137254
30Jun2024,30147700000.0,7.06,4270212464
31Mar2024,42241800000.0,19.8,2133424242
31Dec2023,33972700000.0,15.95,2129949843
30Sep2023,85011700000.0,39.92,2129551603
30Jun2023,105508800000.0,49.55,2129340060
31Mar2023,64777400000.0,30.42,2129434582
31Dec2022,19595800000.0,9.2,2129978260
30Sep2022,-3041700000.0,-1.43,2127062937
31Mar2022,21305300000.0,10.01,2128401598
31Dec2021,24624500000.0,11.56,2130147058
30Sep2021,26941000000.0,12.65,2129723320
30Jun2021,15016500000.0,7.08,2120974576
31Mar2021,119401300000.0,59.77,1997679437
31Dec2020,27776200000.0,14.12,1967152974
30Sep2020,22477530000.0,11.43,1966538057
30Jun2020,20761700000.0,10.56,1966070075
31Mar2020,-13610100000.0,-6.92,1966777456
31Dec2019,12606300000.0,6.41,1966661466
30Sep2019,17084500000.0,8.69,1965995397
30Jun2019,10751200000.0,5.47,1965484460
31Mar2019,31249100000.0,15.89,1966589049
31Dec2018,4951400000.0,2.52,1964841269
30Sep2018,12187100000.0,6.2,1965661290
30Jun2018,22932600000.0,11.66,1966775300
31Mar2018,26736400000.0,13.59,1967358351
