DateOfEndOfReportingPeriod,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
31Dec2024,5940000000.0,22.39,265297007
30Sep2024,5180000000.0,19.51,265504869
30Jun2024,4300000000.0,16.18,265760197
31Mar2024,5310000000.0,19.99,265632816
31Dec2023,3580000000.0,13.5,265185185
30Sep2023,3420000000.0,12.89,265321955
30Jun2023,3450000000.0,12.99,265588914
31Mar2023,3187900000.0,12.01,265437135
31Dec2022,3109000000.0,11.71,265499573
30Sep2022,4868500000.0,18.34,265458015
30Jun2022,6916100000.0,26.05,265493282
31Mar2022,8829600000.0,33.26,265472038
31Dec2021,9072200000.0,34.17,265501902
30Sep2021,6063900000.0,22.84,265494746
30Jun2021,5519700000.0,20.79,265497835
31Mar2021,4879300000.0,18.38,265467899
31Dec2020,4612400000.0,17.37,265538284
30Sep2020,5133000000.0,19.34,265408479
30Jun2020,4922500000.0,18.54,265507011
31Mar2020,3918000000.0,14.76,265447154
31Dec2019,3607300000.0,13.59,265437821
30Sep2019,3528300000.0,13.29,265485327
30Jun2019,2673500000.0,10.07,265491559
31Mar2019,2893500000.0,10.9,265458715
31Dec2018,3794900000.0,14.29,265563331
30Sep2018,3976500000.0,14.98,265453938
30Jun2018,2661600000.0,10.03,265363908
31Mar2018,2616000000.0,9.85,265583756
