DateOfEndOfReportingPeriod,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
31Dec2024,14000000000.0,16.97,824985268
30Sep2024,18821000000.0,22.6,832787610
30Jun2024,13865000000.0,83.61,165829446
31Mar2024,13063000000.0,78.66,166069158
31Dec2023,4752000000.0,28.55,166444833
30Sep2023,11926000000.0,71.68,166378348
30Jun2023,16394000000.0,98.66,166166632
31Mar2023,6724000000.0,40.49,166065695
31Dec2022,3246000000.0,19.54,166120777
30Sep2022,11163000000.0,67.25,165992565
30Jun2022,4995000000.0,30.1,165946843
31Mar2022,4197000000.0,25.29,165954922
31Dec2021,3411000000.0,20.55,165985401
30Sep2021,4490000000.0,27.07,165866272
30Jun2021,4134000000.0,24.94,165757818
31Mar2021,3115000000.0,18.78,165867944
31Dec2020,4437000000.0,26.74,165931189
30Sep2020,4810000000.0,29.0,165862068
30Jun2020,9502000000.0,57.31,165800034
31Mar2020,7706000000.0,47.12,163539898
31Dec2019,5217000000.0,31.47,165776930
30Sep2019,13651000000.0,82.36,165747935
30Jun2019,5481000000.0,33.06,165789473
31Mar2019,2028000000.0,12.22,165957446
31Dec2018,3994000000.0,24.08,165863787
30Sep2018,3462000000.0,20.86,165963566
30Jun2018,3289000000.0,19.82,165943491
31Mar2018,2652000000.0,16.39,161805979
